Model,RMSE,MAE,R2,MAPE,CV_RMSE,Training_Time,Best_Params
Random Forest,0.38685513492283113,0.2590121753106661,0.850428850797007,44.43718749149307,0.3921171356564563,1901.0722880363464,"{'max_depth': 20, 'n_estimators': 100}"
XGBoost,0.6487121046478801,0.5148361791766557,0.5794137191684773,90.8682727271693,0.6511994114836236,151.3172423839569,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}"
LightGBM,0.6951463248027452,0.55565367162086,0.5170484537847346,97.63735844036164,0.6959592021421924,64.71437907218933,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}"
Decision Tree,0.7112308038002054,0.48522833080487526,0.4944405710540115,87.36552027178462,0.7286356920924467,52.473172187805176,"{'max_depth': 15, 'min_samples_split': 5}"
CatBoost,0.7855031856382552,0.6447901101284572,0.3833382654583021,105.24296625789673,0.7888672003522373,160.4227819442749,"{'depth': 6, 'iterations': 200, 'learning_rate': 0.1}"
Linear Regression,0.9321563950369038,0.7883319591518163,0.13158230206563937,118.77667259449957,0.9342413871735983,11.521985054016113,{}
